image_id,age,split
ZEGAR_Z01.jpg,5,train
ZEGAR_Z03.jpg,4,train
ZEGAR_Z04.jpg,3,train
ZEGAR_Z06.jpg,3,train
ZEGAR_Z08.jpg,4,train
ZEGAR_Z11.jpg,4,train
ZEGAR_Z13.jpg,3,train
ZEGAR_Z14.jpg,3,train
ZEGAR_Z15.jpg,4,train
ZEGAR_Z16.jpg,6,train
ZEGAR_Z17.jpg,5,train
ZEGAR_Z18.jpg,4,train
ZEGAR_Z19.jpg,6,train
ZEGAR_Z20.jpg,5,train
ZEGAR_Z21.jpg,6,train
ZEGAR_Z22.jpg,6,train
ZEGAR_Z23.jpg,7,train
ZEGAR_Z24.jpg,8,train
ZEGAR_Z25.jpg,5,train
ZEGAR_Z30.jpg,7,train
ZEGAR_Z31.jpg,7,train
ZEGAR_Z32.jpg,7,train
ZEGAR_Z33.jpg,8,train
ZEGAR_Z34.jpg,8,train
ZEGAR_Z35.jpg,8,train
ZEGAR_Z36.jpg,8,train
ZEGAR_Z37.jpg,9,train
ZEGAR_Z40.jpg,9,train
ZEGAR_Z41.jpg,10,train
ZEGAR_Z43.jpg,8,train
