image_id,x,y
ZEGAR_Z01.jpg,308.0,377.0
ZEGAR_Z01.jpg,292.0,311.0
ZEGAR_Z01.jpg,284.0,279.0
ZEGAR_Z01.jpg,273.0,234.0
ZEGAR_Z01.jpg,308.0,377.0
ZEGAR_Z01.jpg,293.0,315.0
ZEGAR_Z01.jpg,285.0,282.0
ZEGAR_Z01.jpg,274.0,235.0
ZEGAR_Z03.jpg,360.0,334.0
ZEGAR_Z03.jpg,356.0,240.0
ZEGAR_Z03.jpg,353.0,179.0
ZEGAR_Z03.jpg,360.0,334.0
ZEGAR_Z03.jpg,356.0,242.0
ZEGAR_Z03.jpg,353.0,181.0
ZEGAR_Z04.jpg,324.0,393.0
ZEGAR_Z04.jpg,274.0,272.0
ZEGAR_Z04.jpg,326.0,398.0
ZEGAR_Z04.jpg,275.0,274.0
ZEGAR_Z06.jpg,301.0,358.0
ZEGAR_Z06.jpg,281.0,248.0
ZEGAR_Z06.jpg,300.0,357.0
ZEGAR_Z06.jpg,282.0,253.0
ZEGAR_Z08.jpg,265.0,396.0
ZEGAR_Z08.jpg,217.0,310.0
ZEGAR_Z08.jpg,190.0,263.0
ZEGAR_Z08.jpg,221.0,317.0
ZEGAR_Z08.jpg,192.0,266.0
ZEGAR_Z08.jpg,182.0,249.0
ZEGAR_Z11.jpg,374.0,318.0
ZEGAR_Z11.jpg,371.0,225.0
ZEGAR_Z11.jpg,369.0,184.0
ZEGAR_Z11.jpg,375.0,335.0
ZEGAR_Z11.jpg,371.0,226.0
ZEGAR_Z11.jpg,369.0,186.0
ZEGAR_Z13.jpg,366.0,395.0
ZEGAR_Z13.jpg,347.0,293.0
ZEGAR_Z13.jpg,366.0,396.0
ZEGAR_Z13.jpg,348.0,295.0
ZEGAR_Z14.jpg,307.0,278.0
ZEGAR_Z14.jpg,290.0,205.0
ZEGAR_Z14.jpg,308.0,279.0
ZEGAR_Z14.jpg,290.0,206.0
ZEGAR_Z15.jpg,343.0,422.0
ZEGAR_Z15.jpg,323.0,328.0
ZEGAR_Z15.jpg,312.0,273.0
ZEGAR_Z15.jpg,344.0,430.0
ZEGAR_Z15.jpg,323.0,330.0
ZEGAR_Z15.jpg,312.0,276.0
ZEGAR_Z16.jpg,368.0,399.0
ZEGAR_Z16.jpg,356.0,324.0
ZEGAR_Z16.jpg,347.0,270.0
ZEGAR_Z16.jpg,341.0,234.0
ZEGAR_Z16.jpg,336.0,204.0
ZEGAR_Z16.jpg,368.0,401.0
ZEGAR_Z16.jpg,357.0,330.0
ZEGAR_Z16.jpg,347.0,270.0
ZEGAR_Z16.jpg,341.0,238.0
ZEGAR_Z16.jpg,336.0,206.0
ZEGAR_Z17.jpg,407.0,452.0
ZEGAR_Z17.jpg,394.0,368.0
ZEGAR_Z17.jpg,386.0,311.0
ZEGAR_Z17.jpg,378.0,259.0
ZEGAR_Z17.jpg,407.0,452.0
ZEGAR_Z17.jpg,395.0,370.0
ZEGAR_Z17.jpg,385.0,310.0
ZEGAR_Z17.jpg,378.0,260.0
ZEGAR_Z18.jpg,322.0,435.0
ZEGAR_Z18.jpg,284.0,337.0
ZEGAR_Z18.jpg,265.0,287.0
ZEGAR_Z18.jpg,324.0,440.0
ZEGAR_Z18.jpg,284.0,339.0
ZEGAR_Z18.jpg,265.0,287.0
ZEGAR_Z19.jpg,356.0,476.0
ZEGAR_Z19.jpg,320.0,371.0
ZEGAR_Z19.jpg,305.0,327.0
ZEGAR_Z19.jpg,297.0,303.0
ZEGAR_Z19.jpg,290.0,284.0
ZEGAR_Z19.jpg,356.0,478.0
ZEGAR_Z19.jpg,320.0,371.0
ZEGAR_Z19.jpg,305.0,328.0
ZEGAR_Z19.jpg,297.0,305.0
ZEGAR_Z19.jpg,289.0,282.0
ZEGAR_Z20.jpg,469.0,416.0
ZEGAR_Z20.jpg,484.0,322.0
ZEGAR_Z20.jpg,491.0,277.0
ZEGAR_Z20.jpg,499.0,233.0
ZEGAR_Z20.jpg,469.0,414.0
ZEGAR_Z20.jpg,484.0,324.0
ZEGAR_Z20.jpg,492.0,273.0
ZEGAR_Z20.jpg,500.0,226.0
ZEGAR_Z21.jpg,485.0,430.0
ZEGAR_Z21.jpg,509.0,332.0
ZEGAR_Z21.jpg,519.0,291.0
ZEGAR_Z21.jpg,527.0,256.0
ZEGAR_Z21.jpg,535.0,222.0
ZEGAR_Z21.jpg,481.0,448.0
ZEGAR_Z21.jpg,509.0,331.0
ZEGAR_Z21.jpg,518.0,292.0
ZEGAR_Z21.jpg,527.0,256.0
ZEGAR_Z21.jpg,532.0,233.0
ZEGAR_Z22.jpg,365.0,431.0
ZEGAR_Z22.jpg,341.0,336.0
ZEGAR_Z22.jpg,328.0,282.0
ZEGAR_Z22.jpg,320.0,249.0
ZEGAR_Z22.jpg,312.0,218.0
ZEGAR_Z22.jpg,366.0,435.0
ZEGAR_Z22.jpg,341.0,336.0
ZEGAR_Z22.jpg,329.0,284.0
ZEGAR_Z22.jpg,321.0,252.0
ZEGAR_Z22.jpg,313.0,224.0
ZEGAR_Z23.jpg,384.0,425.0
ZEGAR_Z23.jpg,352.0,308.0
ZEGAR_Z23.jpg,337.0,253.0
ZEGAR_Z23.jpg,331.0,230.0
ZEGAR_Z23.jpg,325.0,209.0
ZEGAR_Z23.jpg,318.0,181.0
ZEGAR_Z23.jpg,382.0,418.0
ZEGAR_Z23.jpg,352.0,308.0
ZEGAR_Z23.jpg,335.0,244.0
ZEGAR_Z23.jpg,325.0,209.0
ZEGAR_Z23.jpg,321.0,194.0
ZEGAR_Z23.jpg,317.0,178.0
ZEGAR_Z24.jpg,523.0,486.0
