image_id,neutral_fish_key,preprocessing_type,age,length_mm,weight_g,sex,population,subdivision,otolith_type,year,split,orphan
2021_BASS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex10_Single1_Right.jpg,2021_BASS_HER_GlebiaGdanska_FishIndex10,NotEmbedded,,,,,,,,,,True
2021_BASS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex10_Single2_Left.jpg,2021_BASS_HER_GlebiaGdanska_FishIndex10,NotEmbedded,,,,,,,,,,True
2021_BASS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex11_Single1_Left.jpg,2021_BASS_HER_GlebiaGdanska_FishIndex11,NotEmbedded,,,,,,,,,,True
2021_BASS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex11_Single2_Right.jpg,2021_BASS_HER_GlebiaGdanska_FishIndex11,NotEmbedded,,,,,,,,,,True
2021_BASS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex12_Single1_Left.jpg,2021_BASS_HER_GlebiaGdanska_FishIndex12,NotEmbedded,,,,,,,,,,True
2021_BASS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex12_Single2_Right.jpg,2021_BASS_HER_GlebiaGdanska_FishIndex12,NotEmbedded,,,,,,,,,,True
2021_BASS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex13_Single1_Right.jpg,2021_BASS_HER_GlebiaGdanska_FishIndex13,NotEmbedded,,,,,,,,,,True
2021_BASS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex13_Single2_Left.jpg,2021_BASS_HER_GlebiaGdanska_FishIndex13,NotEmbedded,,,,,,,,,,True
2021_BASS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex14_Single1_Left.jpg,2021_BASS_HER_GlebiaGdanska_FishIndex14,NotEmbedded,,,,,,,,,,True
2021_BASS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex14_Single2_Right.jpg,2021_BASS_HER_GlebiaGdanska_FishIndex14,NotEmbedded,,,,,,,,,,True
2021_BASS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex15_Single1_Right.jpg,2021_BASS_HER_GlebiaGdanska_FishIndex15,NotEmbedded,,,,,,,,,,True
2021_BASS_HER_GlebiaGdanska_NotEmbedded_WithoutPostproc_FishIndex15_Single2_Left.jpg,2021_BASS_HER_GlebiaGdanska_FishIndex15,NotEmbedded,,,,,,,,,,True
