image_id,age,length_mm,weight_g,sex,population,subdivision,otolith_type,year,split
2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex1_Single1_Left.jpg,0,110,7.0,M,,BAL26,Left,2022,val
2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex2_Single1_Left.jpg,0,115,8.0,M,,BAL26,Left,2022,train
2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex2_Single2_Right.jpg,0,115,8.0,M,,BAL26,Right,2022,val
2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex3_Single1_Right.jpg,0,120,11.0,M,,BAL26,Right,2022,train
2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex3_Single2_Left.jpg,0,120,11.0,M,,BAL26,Left,2022,train
2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex4_Single1_Right.jpg,0,120,10.5,M,,BAL26,Right,2022,test
2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex5_Single1_Left.jpg,0,120,10.5,F,,BAL26,Left,2022,val
2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex5_Single2_Right.jpg,0,120,10.5,F,,BAL26,Right,2022,test
2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex6_Single1_Left.jpg,0,120,9.5,M,,BAL26,Left,2022,train
2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex6_Single2_Right.jpg,0,120,9.5,M,,BAL26,Right,2022,train
2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex7_Single1_Left.jpg,0,120,10.5,M,,BAL26,Left,2022,val
2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex7_Single2_Right.jpg,0,120,10.5,M,,BAL26,Right,2022,train
2022_BIAS_HER_ZatokaGdanska_Embedded_Sharpest_FishIndex8_Single1_Left.jpg,0,125,11.5,M,,BAL26,Left,2022,train
