image_id,neutral_fish_key,preprocessing_type,age,length_mm,weight_g,sex,population,subdivision,otolith_type,year,split,orphan
2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex10_Single1_LowQuality.jpg,2022_BIAS_HER_GlebiaGdanska_FishIndex10,Embedded,,,,,,,,,,True
2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex11_Single1_LowQuality.jpg,2022_BIAS_HER_GlebiaGdanska_FishIndex11,Embedded,,,,,,,,,,True
2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex11_Single2_LowQuality.jpg,2022_BIAS_HER_GlebiaGdanska_FishIndex11,Embedded,,,,,,,,,,True
2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex12_Single1_LowQuality.jpg,2022_BIAS_HER_GlebiaGdanska_FishIndex12,Embedded,,,,,,,,,,True
2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex12_Single2_LowQuality.jpg,2022_BIAS_HER_GlebiaGdanska_FishIndex12,Embedded,,,,,,,,,,True
2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex13_Single1_LowQuality.jpg,2022_BIAS_HER_GlebiaGdanska_FishIndex13,Embedded,,,,,,,,,,True
2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex13_Single2_LowQuality.jpg,2022_BIAS_HER_GlebiaGdanska_FishIndex13,Embedded,,,,,,,,,,True
2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex14_Single1_LowQuality.jpg,2022_BIAS_HER_GlebiaGdanska_FishIndex14,Embedded,,,,,,,,,,True
2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex14_Single2_LowQuality.jpg,2022_BIAS_HER_GlebiaGdanska_FishIndex14,Embedded,,,,,,,,,,True
2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex15_Single1_LowQuality.jpg,2022_BIAS_HER_GlebiaGdanska_FishIndex15,Embedded,,,,,,,,,,True
2022_BIAS_HER_GlebiaGdanska_Embedded_Sharpest_FishIndex15_Single2_LowQuality.jpg,2022_BIAS_HER_GlebiaGdanska_FishIndex15,Embedded,,,,,,,,,,True
